Name,Age,Score,City
Grace,24.0,90.0,Delhi
David,21.0,90.0,Kolkata
Eve,23.0,70.0,Bangalore
Grace,23.0,80.0,Delhi
Charlie,20.0,75.0,Chennai
Helen,23.0,95.0,Chennai
Eve,21.0,85.0,Delhi
Eve,20.0,80.0,Bangalore
Grace,25.0,70.0,Delhi
Bob,,80.0,Chennai
Charlie,25.0,80.0,Mumbai
Grace,22.0,90.0,Kolkata
Charlie,20.0,85.0,Chennai
Charlie,24.0,95.0,Delhi
Helen,22.0,80.0,Kolkata
Eve,20.0,75.0,Delhi
David,22.0,90.0,Delhi
Helen,20.0,90.0,Mumbai
Helen,25.0,85.0,Kolkata
Charlie,21.0,90.0,Kolkata
Frank,24.0,80.0,Mumbai
Eve,22.0,85.0,Chennai
Bob,23.0,80.0,Delhi
Helen,23.0,70.0,Bangalore
David,21.0,75.0,Delhi
Frank,,70.0,Delhi
Frank,24.0,85.0,Chennai
Bob,25.0,80.0,Delhi
Helen,25.0,85.0,Mumbai
David,23.0,95.0,Mumbai
Eve,25.0,75.0,Kolkata
Alice,20.0,80.0,Bangalore
David,21.0,90.0,Delhi
Bob,20.0,75.0,Delhi
Frank,22.0,70.0,Chennai
Eve,22.0,75.0,Mumbai
David,21.0,75.0,Bangalore
Alice,25.0,95.0,Kolkata
Alice,22.0,90.0,Mumbai
Charlie,21.0,85.0,Kolkata
Charlie,23.0,95.0,Chennai
Grace,20.0,90.0,Chennai
Bob,25.0,75.0,Delhi
Helen,20.0,95.0,Bangalore
David,,85.0,Kolkata
David,24.0,90.0,Mumbai
Helen,21.0,95.0,Chennai
Grace,20.0,80.0,Delhi
Frank,25.0,75.0,Delhi
Frank,24.0,75.0,Kolkata
Charlie,24.0,95.0,Delhi
Charlie,21.0,85.0,Kolkata
Eve,25.0,75.0,Kolkata
